200700122,_FS3800,_10.18.2.150,__160709,__FS-3800
200700164,_FS3800,_10.36.16.151,__229460,__FS-3800
200700169,_FS3800,_10.36.4.162,__318217,__FS-3800
200700535,_FS3800,_10.2.7.151,__204641,__FS-3800
200700620,_FS3800,_10.33.1.153,__207284,__FS-3800
200700637,_FS3800,_10.33.4.156,__175826,__FS-3800KPDL3
200700934,_FS3800,_10.10.15.156,__96186,__FS-3800
200701132,_FS3800,_10.10.3.162,__514609,__FS-3800
200700067,_FS3830,_10.25.4.150,__231965,__FS-3830N
200700072,_FS3830,_10.25.4.156,__135156,__FS-3830N
200700090,_FS3830,_10.25.4.151,__91923,__FS-3830N
200700155,_FS3830,_10.18.2.164,__220055,__FS-3830N
200700157,_FS3830,_10.18.2.161,__500190,__FS-3830N
200700202,_FS3830,_10.36.4.154,__138588,__FS-3830N
200700354,_FS3830,_10.50.1.110,__141138,__FS-3830N
200700441,_FS3830N,_10.5.4.151,__57915,__FS-3830N
200700457,_FS3830,_10.5.4.154,__80488,__FS-3830N
200700739,_FS3830,_10.16.8.151,__44937,__FS-3830N
200700785,_FS3830,_10.16.100.150,__171014,__FS-3830N
200700800,_FS3830,_10.6.10.150,__155485,__FS-3830N
200700848,_FS3830,_10.10.2.160,__163134,__FS-3830N
200700957,_FS3830,_10.28.16.154,__250784,__FS-3830N
200700962,_FS3830,_10.28.16.150,__110302,__FS-3830N
200700968,_FS3830,_10.28.16.153,__155739,__FS-3830N
200700975,_FS3830,_10.19.15.150,__250541,__FS-3830N
200701013,_FS3830,_10.10.3.185,__65185,__FS-3830N
200701144,_FS3830,_10.7.6.151,__71121,__FS-3830N
200701218,_FS3830,_10.32.1.150,__12534,__FS-3830N
200700763,_FS1800+,_10.16.8.154,__144946,__FS-1800+
200701038,_FS1800+,_10.10.9.150,__252927,__FS-1800+
200701118,_FS1900,_10.10.3.156,__364410,__FS-1900
200701297,_FS-1900,_10.35.18.153,__15122,__FS-3920DN
200700026,_FS1920,_10.25.4.159,__271943,__FS-1920
200700205,_FS1920,_10.36.4.156,__27151,__FS-1920
200700249,_FS1900,_10.50.1.109,__181057,__FS-1920
200700338,_FS1900,_10.50.1.109,__181057,__FS-1920
200700450,_FS1920,_10.5.4.155,__196031,__FS-1920
200700737,_FS1920,_10.16.10.151,__165796,__FS-1920
200700844,_FS1920,_10.10.3.160,__74435,__FS-1920
200700948,_FS1920,_10.10.15.151,__36247,__FS-1920
200700997,_FS1920,_10.19.2.153,__94549,__FS-1920
200701014,_FS1920,_10.10.16.153,__153893,__FS-1920
200701080,_FS1920,_10.12.3.152,__85376,__FS-1920
200701295,_FS-1920#dep,_10.26.13.150,__52471,__FS-1920
20110003,_FS-1920#dep,_Local,_,_
